Date,Open*,High,Low,Close,Volume,Market Cap
"Apr 14, 2022",$2.52,$2.62,$2.29,$2.31,"$63,084,135","$1,058,948,945"
"Apr 13, 2022",$2.41,$2.55,$2.28,$2.53,"$84,699,777","$1,157,539,405"
"Apr 12, 2022",$2.56,$2.68,$2.36,$2.41,"$95,274,902","$1,098,788,438"
"Apr 11, 2022",$2.99,$2.99,$2.55,$2.56,"$81,482,650","$1,165,465,408"
"Apr 10, 2022",$3.25,$3.25,$2.93,$2.99,"$76,316,258","$1,357,983,403"
"Apr 09, 2022",$3.25,$3.33,$3.15,$3.25,"$63,093,537","$1,470,726,603"
"Apr 08, 2022",$3.46,$3.50,$3.15,$3.26,"$122,107,506","$1,470,157,459"
"Apr 07, 2022",$3.03,$3.48,$3.03,$3.44,"$230,680,298","$1,547,564,494"
"Apr 06, 2022",$3.25,$3.41,$3.01,$3.03,"$188,406,843","$1,360,542,004"
"Apr 05, 2022",$3.12,$3.50,$2.98,$3.25,"$184,806,491","$1,452,972,383"
"Apr 04, 2022",$2.78,$3.20,$2.72,$3.10,"$147,634,027","$1,382,384,926"
"Apr 03, 2022",$2.61,$2.78,$2.58,$2.77,"$48,695,008","$1,231,273,269"
"Apr 02, 2022",$2.76,$2.78,$2.61,$2.61,"$64,709,849","$1,153,959,624"
"Apr 01, 2022",$2.65,$2.81,$2.52,$2.76,"$63,412,230","$1,217,943,496"
"Mar 31, 2022",$2.65,$2.86,$2.57,$2.65,"$72,592,400","$1,166,499,363"
"Mar 30, 2022",$2.62,$2.72,$2.53,$2.65,"$43,831,260","$1,163,957,576"
"Mar 29, 2022",$2.59,$2.73,$2.54,$2.62,"$55,613,842","$1,142,832,624"
"Mar 28, 2022",$2.78,$2.78,$2.59,$2.59,"$55,523,773","$1,129,383,186"
"Mar 27, 2022",$2.56,$2.78,$2.52,$2.78,"$53,067,377","$1,206,021,408"
"Mar 26, 2022",$2.48,$2.64,$2.45,$2.56,"$43,405,121","$1,107,570,797"
"Mar 25, 2022",$2.57,$2.62,$2.44,$2.48,"$49,949,220","$1,069,968,664"
"Mar 24, 2022",$2.53,$2.74,$2.50,$2.57,"$158,006,912","$1,107,439,868"
"Mar 23, 2022",$2.16,$2.81,$2.15,$2.53,"$335,315,827","$1,084,304,279"
"Mar 22, 2022",$2.09,$2.29,$2.08,$2.16,"$79,332,937","$920,868,655"
"Mar 21, 2022",$2.12,$2.18,$2.04,$2.09,"$68,753,077","$887,742,741"
"Mar 20, 2022",$2.17,$2.18,$2.07,$2.12,"$59,986,536","$899,013,379"
"Mar 19, 2022",$2.24,$2.32,$2.15,$2.17,"$89,734,072","$915,473,635"
"Mar 18, 2022",$2.14,$2.36,$2.03,$2.24,"$291,520,999","$944,387,143"
"Mar 17, 2022",$1.86,$2.20,$1.75,$2.14,"$219,608,491","$898,276,115"
"Mar 16, 2022",$1.64,$1.91,$1.61,$1.86,"$120,622,900","$780,020,629"
"Mar 15, 2022",$1.68,$1.71,$1.59,$1.64,"$43,936,775","$683,689,224"
"Mar 14, 2022",$1.64,$1.71,$1.62,$1.68,"$33,073,104","$696,768,129"
"Mar 13, 2022",$1.71,$1.72,$1.62,$1.64,"$34,522,174","$678,164,077"
"Mar 12, 2022",$1.75,$1.77,$1.71,$1.71,"$39,017,182","$707,225,723"
"Mar 11, 2022",$1.80,$1.84,$1.74,$1.75,"$35,652,792","$702,154,145"
"Mar 10, 2022",$1.90,$1.91,$1.77,$1.80,"$31,733,688","$719,811,196"
"Mar 09, 2022",$1.82,$1.97,$1.82,$1.90,"$46,598,778","$757,576,816"
"Mar 08, 2022",$1.84,$1.90,$1.81,$1.82,"$35,676,183","$724,644,381"
"Mar 07, 2022",$1.92,$1.94,$1.81,$1.84,"$39,083,140","$729,431,059"
"Mar 06, 2022",$2.02,$2.04,$1.91,$1.92,"$31,282,104","$760,199,428"
"Mar 05, 2022",$2.01,$2.09,$1.96,$2.02,"$43,101,417","$799,500,606"
"Mar 04, 2022",$2.04,$2.18,$1.95,$2.01,"$74,496,089","$792,677,724"
"Mar 03, 2022",$2.13,$2.18,$2.00,$2.04,"$41,520,033","$802,325,957"
"Mar 02, 2022",$2.17,$2.20,$2.08,$2.13,"$49,877,810","$837,691,809"
"Mar 01, 2022",$2.23,$2.27,$2.15,$2.17,"$56,223,073","$850,721,619"
"Feb 28, 2022",$1.96,$2.26,$1.94,$2.23,"$52,826,529","$870,957,517"
"Feb 27, 2022",$2.04,$2.13,$1.94,$1.95,"$41,069,206","$761,447,416"
"Feb 26, 2022",$2.08,$2.18,$2.03,$2.04,"$40,011,576","$794,519,385"
"Feb 25, 2022",$1.97,$2.10,$1.94,$2.08,"$43,689,942","$806,181,040"
"Feb 24, 2022",$2.12,$2.14,$1.76,$1.97,"$105,336,211","$761,848,136"
